Method,Horizon,CV Group,LT,AR,VI,OFR,BO,EI
LightGBM,One-step,0.2 < CV ≤ 0.3,9,15.25683879852295,19.960779190063477,0.8765186667442322,10.82736873626709,94.05855560302734
LightGBM,One-step,0.2 < CV ≤ 0.3,10,17.850366592407227,26.990285873413086,0.8829190135002136,11.140464782714844,117.12479400634766
LightGBM,One-step,0.3 < CV ≤ 0.4,2,0.9797641634941101,0.8790416717529297,0.8992620706558228,6.627182483673096,9.942720413208008
LightGBM,One-step,0.3 < CV ≤ 0.4,3,1.875514030456543,2.2235121726989746,0.8843894600868225,7.91483211517334,19.253849029541016
LightGBM,One-step,0.3 < CV ≤ 0.4,4,3.0627729892730713,4.55889368057251,0.8714577555656433,9.187620162963867,33.272953033447266
LightGBM,One-step,0.3 < CV ≤ 0.4,5,5.324379920959473,9.026135444641113,0.8570349812507629,9.974721908569336,55.12036895751953
LightGBM,One-step,0.3 < CV ≤ 0.4,6,7.085181713104248,12.694478988647461,0.8413594365119934,9.349499702453613,64.62640380859375
LightGBM,One-step,0.3 < CV ≤ 0.4,7,8.345695495605469,14.251056671142578,0.8390448689460754,8.647964477539062,67.13406372070312
LightGBM,One-step,0.3 < CV ≤ 0.4,8,9.152387619018555,15.327110290527344,0.8557457327842712,7.666995048522949,68.75989532470703
LightGBM,One-step,0.3 < CV ≤ 0.4,9,9.887089729309082,18.66972541809082,0.8699900507926941,7.324794769287109,77.72261810302734
LightGBM,One-step,0.3 < CV ≤ 0.4,10,11.961318016052246,25.000621795654297,0.880388617515564,7.6144938468933105,99.49806213378906
LightGBM,One-step,0.4 < CV ≤ 0.6,2,0.7384878396987915,0.6810394525527954,0.8681300282478333,4.827798366546631,6.089108467102051
LightGBM,One-step,0.4 < CV ≤ 0.6,3,1.3686714172363281,1.589257001876831,0.857127845287323,5.220654010772705,10.53204345703125
LightGBM,One-step,0.4 < CV ≤ 0.6,4,2.085968494415283,3.1119918823242188,0.8476816415786743,5.51596736907959,16.13008689880371
LightGBM,One-step,0.4 < CV ≤ 0.6,5,3.4746875762939453,6.12112283706665,0.8338429927825928,5.936927795410156,25.481304168701172
LightGBM,One-step,0.4 < CV ≤ 0.6,6,4.593537330627441,8.680608749389648,0.8194641470909119,5.725287437438965,31.25592613220215
LightGBM,One-step,0.4 < CV ≤ 0.6,7,5.364058017730713,9.984254837036133,0.8183084726333618,5.383107662200928,33.15591049194336
LightGBM,One-step,0.4 < CV ≤ 0.6,8,5.801934719085693,11.080342292785645,0.8309722542762756,4.966475486755371,34.54261779785156
LightGBM,One-step,0.4 < CV ≤ 0.6,9,6.289122581481934,13.595693588256836,0.8438274264335632,4.818843364715576,38.96908950805664
LightGBM,One-step,0.4 < CV ≤ 0.6,10,7.547357559204102,18.1076717376709,0.8552516102790833,4.890243053436279,49.178245544433594
LightGBM,H-step,0.2 < CV ≤ 0.3,2,0.814769446849823,0.499277800321579,0.9220937490463257,7.552083492279053,8.816400527954102
LightGBM,H-step,0.2 < CV ≤ 0.3,3,1.1002633571624756,0.9998245239257812,0.9236739873886108,7.376736640930176,13.54943561553955
LightGBM,H-step,0.2 < CV ≤ 0.3,4,1.2724826335906982,1.6279505491256714,0.9266296029090881,7.167525291442871,18.009719848632812
LightGBM,H-step,0.2 < CV ≤ 0.3,5,1.55268132686615,2.4595744609832764,0.9247690439224243,7.327043056488037,22.549530029296875
LightGBM,H-step,0.2 < CV ≤ 0.3,6,1.9884213209152222,3.311948776245117,0.9220662117004395,7.5311055183410645,26.96355628967285
LightGBM,H-step,0.2 < CV ≤ 0.3,7,2.35131573677063,4.333062648773193,0.9191988706588745,7.832712650299072,31.054401397705078
LightGBM,H-step,0.2 < CV ≤ 0.3,8,2.8720920085906982,5.888033390045166,0.9164949655532837,8.090193748474121,35.858055114746094
LightGBM,H-step,0.2 < CV ≤ 0.3,9,3.400103807449341,7.805147647857666,0.9136617183685303,8.280084609985352,40.53532409667969
LightGBM,H-step,0.2 < CV ≤ 0.3,10,3.890063524246216,10.285658836364746,0.9132683873176575,8.352478981018066,46.15046310424805
LightGBM,H-step,0.3 < CV ≤ 0.4,2,0.7523690462112427,0.770250678062439,0.9035346508026123,6.158202171325684,8.943120002746582
LightGBM,H-step,0.3 < CV ≤ 0.4,3,0.9549616575241089,1.5977638959884644,0.9032388925552368,6.142098426818848,13.537205696105957
LightGBM,H-step,0.3 < CV ≤ 0.4,4,1.0932148694992065,2.6800315380096436,0.9061418771743774,5.944669246673584,18.0358943939209
LightGBM,H-step,0.3 < CV ≤ 0.4,5,1.2819221019744873,3.857543468475342,0.9041352272033691,6.012263298034668,22.2745304107666
LightGBM,H-step,0.3 < CV ≤ 0.4,6,1.622829794883728,5.173157691955566,0.9002619385719299,6.137402057647705,26.502649307250977
LightGBM,H-step,0.3 < CV ≤ 0.4,7,1.8960485458374023,6.723649024963379,0.8990834951400757,6.3131208419799805,30.888349533081055
LightGBM,H-step,0.3 < CV ≤ 0.4,8,2.1873035430908203,8.49815559387207,0.8967911005020142,6.421327590942383,35.17173385620117
LightGBM,H-step,0.3 < CV ≤ 0.4,9,2.4714903831481934,10.67197036743164,0.895126461982727,6.464306831359863,39.55133056640625
LightGBM,H-step,0.3 < CV ≤ 0.4,10,2.786997079849243,13.469536781311035,0.895012617111206,6.4476637840271,44.965457916259766
LightGBM,H-step,0.4 < CV ≤ 0.6,2,0.5831332802772522,0.6107878088951111,0.8726201057434082,4.682727336883545,5.765888690948486
LightGBM,H-step,0.4 < CV ≤ 0.6,3,0.7989820241928101,1.14765202999115,0.8721750974655151,4.576730251312256,8.425667762756348
LightGBM,H-step,0.4 < CV ≤ 0.6,4,0.9277100563049316,1.8370758295059204,0.8756782412528992,4.41786003112793,11.220744132995605
LightGBM,H-step,0.4 < CV ≤ 0.6,5,1.1229299306869507,2.633200168609619,0.8739199638366699,4.411835193634033,13.795912742614746
LightGBM,H-step,0.4 < CV ≤ 0.6,6,1.3919445276260376,3.5522301197052,0.8693848252296448,4.432882785797119,15.97579574584961
LightGBM,H-step,0.4 < CV ≤ 0.6,7,1.551923394203186,4.575331211090088,0.8687796592712402,4.503210067749023,18.28307342529297
LightGBM,H-step,0.4 < CV ≤ 0.6,8,1.7383193969726562,5.827799320220947,0.8668304085731506,4.5629048347473145,20.86023712158203
LightGBM,H-step,0.4 < CV ≤ 0.6,9,1.9454189538955688,7.360080718994141,0.865128219127655,4.547310829162598,23.22330093383789
LightGBM,H-step,0.4 < CV ≤ 0.6,10,2.1034348011016846,9.135441780090332,0.8680952191352844,4.493143558502197,26.335617065429688
LSTM,One-step,0.2 < CV ≤ 0.3,2,1.5167039632797241,0.7171154618263245,0.9245548844337463,7.208367347717285,11.968165397644043
LSTM,One-step,0.2 < CV ≤ 0.3,3,3.0908634662628174,2.212833881378174,0.9076113104820251,9.233147621154785,24.075132369995117
LSTM,One-step,0.2 < CV ≤ 0.3,4,5.1751484870910645,5.227755069732666,0.8925194144248962,11.128403663635254,41.81235122680664
LSTM,One-step,0.2 < CV ≤ 0.3,5,8.86469554901123,11.083081245422363,0.8765856623649597,12.837361335754395,68.47904968261719
LSTM,One-step,0.2 < CV ≤ 0.3,6,11.787010192871094,16.140573501586914,0.8628493547439575,12.56897258758545,85.61268615722656
LSTM,One-step,0.2 < CV ≤ 0.3,7,13.9260835647583,17.868383407592773,0.8618800044059753,11.665724754333496,89.56379699707031
LSTM,One-step,0.2 < CV ≤ 0.3,8,15.466864585876465,18.69251823425293,0.8780229091644287,10.291590690612793,92.01078033447266
LSTM,One-step,0.2 < CV ≤ 0.3,9,16.9200382232666,22.49632453918457,0.8892932534217834,9.771322250366211,103.35576629638672
LSTM,One-step,0.2 < CV ≤ 0.3,10,20.445093154907227,30.10316276550293,0.8969429731369019,9.995636940002441,128.7867431640625
LSTM,One-step,0.3 < CV ≤ 0.4,2,1.3534752130508423,0.8193942904472351,0.8222031593322754,8.10837173461914,10.603764533996582
LSTM,One-step,0.3 < CV ≤ 0.4,3,2.44270396232605,2.2537240982055664,0.8106508255004883,9.295960426330566,20.75946807861328
LSTM,One-step,0.3 < CV ≤ 0.4,4,4.016587257385254,5.052015781402588,0.7999183535575867,10.708161354064941,38.160953521728516
LSTM,One-step,0.3 < CV ≤ 0.4,5,6.242676734924316,9.627449989318848,0.791807234287262,11.050185203552246,58.932029724121094
LSTM,One-step,0.3 < CV ≤ 0.4,6,7.9054083824157715,12.98423957824707,0.7830024361610413,10.285994529724121,67.62471008300781
LSTM,One-step,0.3 < CV ≤ 0.4,7,9.335088729858398,14.698674201965332,0.7834306955337524,9.412745475769043,71.48316955566406
LSTM,One-step,0.3 < CV ≤ 0.4,8,10.37442398071289,16.14475440979004,0.7967653274536133,8.632583618164062,76.44268035888672
LSTM,One-step,0.3 < CV ≤ 0.4,9,11.41490364074707,19.889694213867188,0.8086907863616943,8.286528587341309,87.99403381347656
LSTM,One-step,0.3 < CV ≤ 0.4,10,13.482810974121094,26.599533081054688,0.8207530379295349,8.316912651062012,109.35726928710938
LSTM,One-step,0.4 < CV ≤ 0.6,2,1.316974401473999,0.8679075837135315,0.7939007878303528,5.681112766265869,7.486697196960449
LSTM,One-step,0.4 < CV ≤ 0.6,3,2.3125226497650146,2.311659097671509,0.7862558364868164,5.889052391052246,13.450882911682129
