series_id,Method,Horizon,CV Group,LT,AR,VI,OFR,BO,EI
FOODS_3_477__TX,LSTM,One-step,0.3 < CV ≤ 0.4,7,5.963830947875977,9.241056442260742,0.8773573040962219,1.805755853652954,15.231176376342773
FOODS_3_458__CA,LSTM,One-step,0.3 < CV ≤ 0.4,7,8.139225006103516,8.485466957092285,0.8434135317802429,5.266319274902344,27.631816864013672
HOUSEHOLD_1_429__TX,LSTM,One-step,0.3 < CV ≤ 0.4,7,1.3896225690841675,0.15383338928222656,0.2812110483646393,12.924336433410645,0.5066401362419128
FOODS_3_226__TX,LSTM,One-step,0.3 < CV ≤ 0.4,7,10.416961669921875,12.064820289611816,0.808761477470398,7.906079292297363,41.36184310913086
FOODS_2_181__TX,LSTM,One-step,0.3 < CV ≤ 0.4,8,7.280930042266846,12.825953483581543,0.8730484843254089,4.646400451660156,39.47770309448242
FOODS_3_377__WI,LSTM,One-step,0.3 < CV ≤ 0.4,8,10.341955184936523,13.803584098815918,0.8948633670806885,2.0533413887023926,24.44856071472168
FOODS_3_714__CA,LSTM,One-step,0.3 < CV ≤ 0.4,8,13.461066246032715,14.802102088928223,0.8581059575080872,10.167397499084473,117.44866943359375
FOODS_3_697__CA,LSTM,One-step,0.3 < CV ≤ 0.4,8,11.123422622680664,10.608230590820312,0.8313230872154236,5.103366374969482,30.745447158813477
FOODS_3_080__TX,LSTM,One-step,0.3 < CV ≤ 0.4,8,13.867339134216309,16.701217651367188,0.8914201259613037,4.003825664520264,38.98280715942383
FOODS_3_499__CA,LSTM,One-step,0.3 < CV ≤ 0.4,8,5.617587089538574,8.283546447753906,0.8166439533233643,11.86890697479248,66.67432403564453
HOUSEHOLD_1_110__CA,LSTM,One-step,0.3 < CV ≤ 0.4,8,9.582304000854492,28.30794906616211,0.7468081116676331,10.457218170166016,63.79845428466797
FOODS_3_288__CA,LSTM,One-step,0.3 < CV ≤ 0.4,8,9.102523803710938,27.472896575927734,0.8866634964942932,8.955523490905762,182.87599182128906
FOODS_3_252__CA,LSTM,One-step,0.3 < CV ≤ 0.4,8,12.858635902404785,13.370780944824219,0.8576006293296814,17.35251808166504,175.97003173828125
HOUSEHOLD_1_110__TX,LSTM,One-step,0.3 < CV ≤ 0.4,8,16.69000816345215,43.62074661254883,0.848243772983551,5.5012593269348145,96.34440612792969
FOODS_3_228__CA,LSTM,One-step,0.3 < CV ≤ 0.4,8,13.395198822021484,16.074237823486328,0.8823418021202087,2.9657886028289795,34.919830322265625
HOUSEHOLD_1_429__CA,LSTM,One-step,0.3 < CV ≤ 0.4,8,1.36107337474823,0.6663191914558411,0.2914343476295471,16.59803009033203,1.6105918884277344
FOODS_3_555__TX,LSTM,One-step,0.3 < CV ≤ 0.4,8,22.28628158569336,26.274934768676758,0.8905789256095886,10.72093677520752,150.47206115722656
FOODS_3_252__TX,LSTM,One-step,0.3 < CV ≤ 0.4,8,13.780923843383789,15.495367050170898,0.8712850213050842,16.100229263305664,196.4232940673828
FOODS_3_739__CA,LSTM,One-step,0.3 < CV ≤ 0.4,8,8.603285789489746,26.123991012573242,0.8478925228118896,10.690071105957031,144.71116638183594
FOODS_3_477__TX,LSTM,One-step,0.3 < CV ≤ 0.4,8,6.925704002380371,11.167272567749023,0.8828355669975281,1.6882283687591553,16.72585678100586
FOODS_3_458__CA,LSTM,One-step,0.3 < CV ≤ 0.4,8,8.417510986328125,9.424912452697754,0.8586064577102661,5.050533294677734,29.433361053466797
HOUSEHOLD_1_429__TX,LSTM,One-step,0.3 < CV ≤ 0.4,8,1.235192060470581,0.18315701186656952,0.2836415767669678,12.975177764892578,0.4031451642513275
FOODS_3_226__TX,LSTM,One-step,0.3 < CV ≤ 0.4,8,11.183106422424316,11.543130874633789,0.825203001499176,7.120326042175293,40.94527053833008
FOODS_2_181__TX,LSTM,One-step,0.3 < CV ≤ 0.4,9,8.082200050354004,16.46918296813965,0.876059353351593,4.654519557952881,46.03779983520508
FOODS_3_377__WI,LSTM,One-step,0.3 < CV ≤ 0.4,9,11.248519897460938,16.778512954711914,0.9008026719093323,1.9778426885604858,28.224437713623047
FOODS_3_714__CA,LSTM,One-step,0.3 < CV ≤ 0.4,9,14.633927345275879,17.44922637939453,0.8886814117431641,9.42308521270752,136.8424835205078
FOODS_3_697__CA,LSTM,One-step,0.3 < CV ≤ 0.4,9,11.960958480834961,12.181464195251465,0.8492475152015686,4.764270305633545,32.983177185058594
FOODS_3_080__TX,LSTM,One-step,0.3 < CV ≤ 0.4,9,15.489563941955566,22.04817771911621,0.8978798389434814,3.982431173324585,45.098915100097656
FOODS_3_499__CA,LSTM,One-step,0.3 < CV ≤ 0.4,9,6.114161491394043,9.746744155883789,0.825711190700531,11.572774887084961,73.60342407226562
HOUSEHOLD_1_110__CA,LSTM,One-step,0.3 < CV ≤ 0.4,9,10.982789039611816,36.857479095458984,0.7575111985206604,10.087738037109375,73.3409652709961
FOODS_3_288__CA,LSTM,One-step,0.3 < CV ≤ 0.4,9,10.365382194519043,34.449649810791016,0.8962370753288269,8.728851318359375,210.29559326171875
FOODS_3_252__CA,LSTM,One-step,0.3 < CV ≤ 0.4,9,14.021427154541016,16.045392990112305,0.8815749287605286,16.289112091064453,206.86734008789062
HOUSEHOLD_1_110__TX,LSTM,One-step,0.3 < CV ≤ 0.4,9,18.113332748413086,54.43299865722656,0.8595178127288818,5.14182710647583,111.80704498291016
FOODS_3_228__CA,LSTM,One-step,0.3 < CV ≤ 0.4,9,15.038276672363281,19.39803123474121,0.8954042792320251,2.7926979064941406,40.13824462890625
HOUSEHOLD_1_429__CA,LSTM,One-step,0.3 < CV ≤ 0.4,9,1.5091794729232788,0.6880430579185486,0.2932074964046478,16.564001083374023,1.5934016704559326
FOODS_3_555__TX,LSTM,One-step,0.3 < CV ≤ 0.4,9,24.89531898498535,32.245330810546875,0.9105595946311951,9.681065559387207,173.1251220703125
FOODS_3_252__TX,LSTM,One-step,0.3 < CV ≤ 0.4,9,14.962894439697266,19.237573623657227,0.8917428851127625,14.97006607055664,229.44871520996094
FOODS_3_739__CA,LSTM,One-step,0.3 < CV ≤ 0.4,9,9.131011009216309,32.63011932373047,0.8637035489082336,10.129500389099121,163.4119873046875
FOODS_3_477__TX,LSTM,One-step,0.3 < CV ≤ 0.4,9,7.557341575622559,12.165489196777344,0.8888330459594727,1.636193037033081,18.405122756958008
